RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
2972,91526342,Jones,437,Germany,Male,81,3,196178.19,1,0,0,61376.66,1,1,3,SILVER,31
2973,90116227,Garcia,721,Germany,Male,24,8,131723.52,2,0,0,193025.79,0,0,1,SILVER,269
2974,33664964,Jones,778,Spain,Female,66,2,151020.08,4,0,1,27613.31,1,1,2,GOLD,824
2975,10407350,Davis,556,Germany,Male,100,5,109313.57,2,1,0,151375.25,0,0,4,SILVER,396
2976,60167314,Brown,547,Germany,Female,47,9,1681.92,2,1,1,72704.47,1,0,1,GOLD,650
2977,32711934,Jackson,755,Spain,Male,69,5,71474.89,2,0,1,141937.09,1,0,2,GOLD,417
2978,24164382,Thomas,421,France,Female,64,0,24799.77,4,0,1,55696.45,1,0,3,GOLD,373
2979,16266252,Thomas,848,Spain,Female,25,9,1820.03,1,0,0,151259.07,0,1,5,PLATINUM,241
2980,43222045,Brown,586,Spain,Female,94,4,13294.78,2,0,1,135589.51,0,1,1,GOLD,242
2981,11883627,Garcia,663,France,Female,50,10,90555.02,1,1,1,41783.72,1,0,1,SILVER,236
2982,16818523,Johnson,776,France,Male,64,5,185011.49,4,0,0,194680.09,1,1,1,SILVER,726
2983,50148103,Moore,675,France,Female,84,7,127174.14,2,1,0,161805.01,0,1,3,DIAMOND,346
2984,94887435,Martinez,476,France,Female,99,10,48937.32,3,1,1,21895.45,1,0,1,PLATINUM,509
2985,54282212,Smith,403,Spain,Female,57,4,163558.13,1,0,0,140113.66,1,0,3,DIAMOND,334
2986,67928029,Gonzalez,687,Germany,Female,46,7,6903.19,3,1,0,171452.77,0,1,5,DIAMOND,802
2987,35833351,Taylor,843,Spain,Female,42,1,16833.26,4,0,1,167134.04,0,0,2,DIAMOND,512
2988,34391200,Martin,507,France,Female,48,3,218082.8,4,1,0,7517.2,0,1,1,GOLD,18
2989,11668034,Wilson,567,France,Male,87,1,58197.31,1,1,0,156913.64,1,0,3,PLATINUM,494
2990,86969912,Rodriguez,634,Germany,Male,18,9,37983.83,4,0,0,147355.15,1,1,3,DIAMOND,171
2991,51098679,Smith,816,Spain,Male,22,8,125559.47,1,1,0,72753.38,0,1,3,PLATINUM,725
2992,97203960,Martinez,623,France,Female,28,4,120983.15,2,1,0,176139.95,1,0,1,SILVER,79
2993,95186158,Thomas,784,Germany,Male,25,9,227046.9,3,0,0,101485.49,0,1,5,GOLD,414
2994,94655811,Martinez,790,Spain,Male,57,6,20360.55,1,1,1,35520.81,0,1,5,PLATINUM,215
2995,94457377,Miller,405,France,Male,64,0,7818.44,2,0,0,131087.45,1,1,3,PLATINUM,821
2996,41315846,Davis,652,Germany,Male,87,6,218866.49,3,1,1,76309.59,1,1,5,PLATINUM,162
2997,33204660,Jackson,785,Germany,Male,36,3,4111.64,1,1,0,73393.45,0,0,1,DIAMOND,799
2998,81626905,Rodriguez,336,France,Male,74,4,47341.05,2,0,1,28351.41,0,0,4,PLATINUM,832
2999,75537402,Davis,326,Germany,Male,46,5,170654.71,2,0,0,152277.89,1,0,5,SILVER,919
3000,59745057,Thomas,358,France,Female,78,8,59835.71,2,0,1,109913.21,1,1,3,PLATINUM,835
3001,99046486,Rodriguez,681,Spain,Male,73,3,246655.45,1,0,0,102580.89,0,0,4,PLATINUM,445
3002,73121941,Thomas,321,Germany,Female,70,3,211670.27,4,1,0,5816.62,0,0,5,SILVER,846
3003,56278800,Lopez,770,Spain,Female,75,10,36904.55,3,0,1,95907.2,0,0,3,DIAMOND,763
3004,69792097,Taylor,647,Germany,Female,67,10,116324.65,4,0,0,69547.99,0,0,5,SILVER,344
3005,27939952,Williams,665,Spain,Female,57,8,49053.85,4,0,1,1679.24,1,1,1,PLATINUM,831
3006,14950969,Thomas,745,Spain,Male,60,8,66931.72,3,0,1,93313.6,1,0,3,SILVER,460
3007,82987449,Wilson,347,France,Female,82,10,73013.67,2,1,0,37847.47,0,1,1,GOLD,821
3008,67566554,Jones,419,Germany,Female,89,7,217645.55,1,1,0,82180.0,0,1,2,PLATINUM,96
3009,29060129,Garcia,424,Germany,Female,81,6,26109.08,4,1,1,20140.69,0,0,5,GOLD,853
3010,67271589,Williams,715,France,Male,20,9,216513.46,2,0,0,123484.48,0,0,1,SILVER,627
3011,98252866,Davis,411,France,Male,58,3,43005.09,4,0,0,83524.54,0,0,2,GOLD,559
3012,39499685,Anderson,381,France,Male,23,5,49246.7,4,1,1,121112.97,0,0,4,GOLD,342
3013,28328229,Lopez,703,France,Female,22,6,40530.06,2,1,0,157663.07,0,1,5,DIAMOND,137
3014,14608340,Thomas,831,Spain,Female,61,5,198322.48,3,1,0,163427.19,1,0,1,SILVER,215
3015,67308809,Thomas,323,France,Male,32,2,86668.52,4,0,1,12703.29,0,1,2,GOLD,511
3016,61430782,Thomas,605,Spain,Male,56,7,149109.99,1,0,1,165695.53,0,1,1,DIAMOND,394
3017,92426567,Johnson,362,Germany,Female,61,9,23565.31,3,0,1,94197.57,0,0,1,PLATINUM,224
3018,75362164,Wilson,330,France,Female,30,5,201359.09,4,0,0,127732.35,0,0,3,PLATINUM,724
3019,51543855,Brown,367,France,Female,63,9,134837.23,4,1,0,91057.16,0,1,5,GOLD,180
3020,10938928,Thomas,474,Spain,Female,84,2,127415.72,3,1,1,140732.74,1,1,2,SILVER,936
3021,81219340,Rodriguez,498,Germany,Female,44,0,197469.22,1,0,0,194531.41,0,1,3,DIAMOND,240
3022,57644361,Taylor,700,France,Male,75,0,30992.77,4,1,1,111342.65,1,1,2,PLATINUM,903
3023,96574216,Jones,783,Spain,Male,57,2,186854.26,2,1,1,52860.11,0,0,2,GOLD,855
3024,89712580,Moore,657,Spain,Female,83,2,108135.97,2,0,0,22670.71,1,0,2,SILVER,48
3025,60939715,Lopez,502,Germany,Male,95,8,152597.64,3,0,0,92398.45,0,1,3,DIAMOND,865
3026,25660120,Jackson,519,France,Male,49,6,145926.62,2,1,1,191910.93,0,1,1,GOLD,429
3027,42575627,Anderson,684,Spain,Male,51,7,198728.98,4,0,1,123200.38,0,0,4,GOLD,90
3028,52611902,Gonzalez,512,Spain,Male,63,4,183553.9,2,1,0,153147.95,0,1,2,SILVER,220
3029,46705919,Jones,316,France,Female,94,4,95584.97,4,0,0,137104.9,0,0,3,DIAMOND,538
3030,28815953,Garcia,350,France,Male,44,6,197185.33,1,1,0,57990.89,1,0,3,PLATINUM,14
3031,22506090,Jackson,376,Spain,Female,45,4,12595.69,1,0,0,94458.36,0,0,5,GOLD,430
3032,32235808,Wilson,810,Spain,Male,24,7,83215.12,2,0,0,115753.16,1,1,3,SILVER,33
3033,85532038,Rodriguez,490,Germany,Female,79,0,57003.09,3,1,1,139346.05,0,0,2,DIAMOND,990
3034,94342570,Smith,698,France,Female,37,0,230844.57,3,0,1,146449.7,1,0,5,GOLD,335
3035,70281630,Rodriguez,526,Germany,Male,24,5,100663.57,2,0,1,115864.97,0,0,2,PLATINUM,491
3036,70645330,Thomas,505,Germany,Male,61,8,69146.37,4,1,0,142390.91,0,1,1,SILVER,62
3037,97581258,Martin,592,France,Male,76,8,136240.97,1,1,1,54386.61,0,0,2,SILVER,657
3038,50264418,Lopez,485,Germany,Male,40,10,213349.83,4,0,0,152721.47,1,0,4,SILVER,134
3039,47389908,Brown,484,Germany,Male,77,5,217657.38,2,0,0,139531.65,1,0,5,GOLD,871
3040,46323306,Smith,351,Germany,Female,88,3,202167.88,2,1,0,26160.87,0,0,1,SILVER,62
3041,61947748,Lopez,775,Spain,Male,83,10,982.86,2,1,1,6798.98,1,1,4,SILVER,406
3042,74226916,Garcia,586,Spain,Female,40,3,184801.21,4,1,1,191201.17,0,1,3,PLATINUM,488
3043,15613973,Lopez,359,France,Female,48,3,229989.91,2,0,1,95142.5,0,1,4,SILVER,454
3044,82191624,Thomas,677,Spain,Female,69,0,208195.32,1,1,1,60943.45,1,0,1,DIAMOND,613
3045,77851928,Hernandez,498,France,Female,92,5,123710.21,1,1,0,129556.96,0,0,5,DIAMOND,803
3046,18541821,Hernandez,727,France,Male,32,9,176330.55,3,1,0,58990.8,0,0,3,PLATINUM,220
3047,67322479,Martinez,561,Spain,Male,18,8,96584.28,1,0,1,15401.63,1,1,4,DIAMOND,115
3048,47771827,Jones,728,Spain,Female,70,9,201246.01,2,1,1,176213.19,0,0,2,GOLD,442
3049,46961618,Jackson,402,Spain,Male,51,1,236167.94,3,1,0,47727.18,1,1,4,PLATINUM,508
3050,44364084,Thomas,839,Germany,Female,33,9,39744.59,4,0,1,146788.04,0,1,5,SILVER,330
3051,56828202,Smith,594,France,Male,70,8,245050.38,3,1,0,194321.83,0,1,1,PLATINUM,966
3052,85025287,Gonzalez,703,Germany,Male,35,7,134516.62,1,0,1,120472.08,1,0,5,SILVER,135
3053,13397596,Taylor,760,Spain,Female,98,1,47256.47,4,1,1,18278.17,0,0,1,SILVER,662
3054,88639833,Garcia,769,Spain,Female,58,5,125021.34,3,1,0,138774.59,0,0,5,SILVER,751
3055,94723078,Thomas,435,Germany,Female,57,2,75429.78,3,1,1,7175.71,1,0,5,PLATINUM,897
3056,82300018,Brown,501,Germany,Female,28,9,16431.42,2,1,1,102346.11,1,1,3,SILVER,356
3057,34703836,Martinez,573,Spain,Male,48,10,170068.49,3,0,1,9927.9,1,1,1,GOLD,175
3058,54320971,Williams,651,France,Male,40,3,92321.62,3,1,0,28550.81,0,0,2,SILVER,195
3059,41288833,Anderson,687,France,Male,69,2,138201.48,3,0,0,157382.9,1,1,4,SILVER,872
3060,72907039,Jones,792,Germany,Male,88,1,108954.92,1,0,1,2155.94,0,0,2,SILVER,62
3061,42523399,Williams,452,Spain,Female,55,6,7263.65,3,1,0,42533.08,1,0,1,DIAMOND,641
3062,58685946,Martin,716,Spain,Male,44,3,248148.3,3,0,0,6159.82,1,0,1,GOLD,766
3063,44816442,Miller,753,Spain,Female,50,7,118403.21,2,1,0,115148.51,0,1,2,GOLD,174
3064,22501353,Hernandez,446,Spain,Male,63,5,103881.51,2,0,1,96901.4,0,0,4,SILVER,158
3065,74734913,Garcia,486,Spain,Female,84,5,160821.54,1,1,1,180979.78,1,0,5,SILVER,820
3066,68144889,Anderson,842,Germany,Female,33,3,174008.58,1,1,1,45891.42,1,1,3,PLATINUM,751
3067,31301745,Brown,378,France,Female,98,10,220215.98,1,0,1,4739.23,0,1,2,DIAMOND,603
3068,98826617,Garcia,380,Germany,Female,95,0,53744.17,1,1,1,2494.43,0,0,5,DIAMOND,957
3069,77039686,Martinez,711,Spain,Female,87,10,59410.59,1,1,0,173806.29,0,0,5,GOLD,501
3070,91946457,Taylor,407,France,Female,55,1,226916.42,4,1,0,54879.06,1,0,2,SILVER,823
3071,54679835,Thomas,388,France,Male,66,3,248948.31,3,1,0,131990.13,0,1,2,GOLD,342
3072,93393378,Thomas,389,Germany,Male,100,10,246323.84,4,0,0,180073.35,1,0,3,SILVER,697
3073,23276132,Moore,346,France,Male,72,2,47558.45,4,0,0,82805.77,0,0,4,SILVER,546
3074,18856601,Smith,517,Spain,Male,53,4,170699.12,2,0,1,171420.13,1,1,3,PLATINUM,134
3075,38529954,Moore,565,France,Female,40,6,34993.94,3,0,0,126318.38,1,0,3,GOLD,709
3076,16411823,Gonzalez,489,Spain,Male,79,1,194138.49,2,1,0,83921.98,0,0,1,SILVER,158
3077,69236436,Martin,495,France,Female,84,2,40753.44,3,1,0,56640.81,1,0,3,SILVER,242
3078,75139112,Brown,555,France,Male,24,2,154098.54,3,1,0,44831.6,0,1,4,SILVER,519
3079,56195302,Hernandez,660,Germany,Female,61,1,203059.9,4,0,1,27155.91,1,0,5,DIAMOND,785
3080,68815170,Williams,628,France,Female,92,5,234784.05,3,1,0,189029.56,0,1,5,PLATINUM,769
3081,67453416,Williams,739,Spain,Female,40,1,151195.05,4,1,0,7728.34,1,1,1,PLATINUM,921
3082,74107292,Garcia,664,Germany,Female,55,4,131288.43,2,1,1,17455.47,1,1,4,SILVER,548
3083,74333431,Anderson,845,Spain,Female,53,1,205339.99,4,1,0,37425.64,1,0,5,SILVER,905
3084,11287818,Smith,652,Spain,Female,96,6,142827.15,1,1,0,149382.41,0,0,1,SILVER,133
3085,60767660,Williams,422,Spain,Male,98,8,220503.71,3,1,0,141617.52,0,1,1,DIAMOND,535
3086,91118505,Hernandez,371,Germany,Female,43,10,195081.67,1,0,0,192969.48,1,0,4,PLATINUM,226
3087,10559665,Davis,720,Germany,Male,82,8,103674.53,4,0,1,10721.04,0,0,4,GOLD,730
3088,83677377,Rodriguez,755,Spain,Male,40,3,169380.94,1,1,1,65546.66,0,1,4,PLATINUM,882
3089,39134774,Moore,419,Germany,Male,70,6,89933.55,3,0,1,119086.47,1,0,3,DIAMOND,117
3090,90838992,Brown,734,Germany,Female,20,2,15110.19,4,0,1,37526.45,1,0,3,DIAMOND,800
3091,34787829,Thomas,647,France,Female,48,0,181260.44,1,1,1,45868.55,0,1,3,PLATINUM,33
3092,57116237,Lopez,744,Spain,Male,50,1,39799.95,1,1,1,112622.55,1,1,1,GOLD,339
3093,87154367,Miller,795,Spain,Male,54,5,105483.54,2,0,1,33420.9,0,0,2,PLATINUM,432
3094,80024146,Davis,453,Spain,Male,100,6,247852.93,3,0,1,122477.56,1,1,5,SILVER,451
3095,75784241,Davis,606,France,Female,55,9,164913.02,2,1,1,126971.72,1,1,3,GOLD,656
3096,93948687,Lopez,847,Germany,Female,69,7,55465.72,2,0,0,100557.03,1,0,2,SILVER,984
3097,92323400,Gonzalez,780,Spain,Female,98,3,237971.68,3,1,0,166958.92,1,0,3,DIAMOND,868
3098,70481715,Wilson,318,Germany,Female,93,1,31248.59,3,0,0,43306.42,1,0,1,GOLD,558
3099,88612498,Rodriguez,506,Spain,Male,55,0,9345.18,2,1,1,142316.25,0,0,1,PLATINUM,769
3100,30020731,Lopez,335,Spain,Male,19,10,187486.66,1,0,1,182500.58,0,1,1,PLATINUM,700
3101,99390497,Jones,804,Spain,Male,92,8,203242.54,1,1,1,51383.26,1,1,4,DIAMOND,715
3102,31863704,Jones,407,Germany,Male,86,7,92989.09,1,1,1,120731.07,0,0,3,DIAMOND,918
3103,68301314,Jackson,552,France,Male,89,1,199205.79,3,0,0,129441.2,0,1,3,GOLD,518
3104,22560610,Gonzalez,568,Germany,Female,55,10,113955.96,3,0,1,58370.41,0,0,2,GOLD,567
3105,24489565,Jones,399,France,Male,29,8,208346.33,4,1,0,14072.52,1,1,1,SILVER,709
3106,61848174,Jackson,509,Spain,Male,95,4,145177.39,1,1,1,3377.82,1,1,2,GOLD,107
3107,22791427,Garcia,610,France,Female,48,5,23551.02,4,1,1,4162.91,1,1,5,PLATINUM,733
3108,94772434,Garcia,811,France,Male,66,8,184511.91,1,1,1,156213.04,1,0,3,PLATINUM,344
3109,97850073,Smith,762,Spain,Male,44,7,124526.31,2,0,0,199629.08,1,1,4,PLATINUM,130
3110,27779808,Jackson,343,Spain,Male,30,8,78165.99,4,1,1,10268.86,0,1,5,PLATINUM,714
3111,40620782,Thomas,422,Spain,Male,49,10,156627.63,3,1,1,47062.71,0,0,5,SILVER,912
3112,66893490,Thomas,611,Spain,Female,82,0,227758.31,3,0,0,188541.67,1,0,4,DIAMOND,384
3113,68548862,Moore,425,Germany,Male,64,4,90414.43,2,1,0,198420.19,0,1,1,PLATINUM,624
3114,36742136,Davis,503,Spain,Male,80,2,128548.87,4,1,1,70981.84,1,1,3,DIAMOND,623
3115,48402952,Gonzalez,807,Spain,Female,36,0,245068.95,1,0,1,30889.35,0,1,1,DIAMOND,495
3116,35617672,Hernandez,448,France,Female,62,10,11547.16,2,1,0,9372.78,1,1,5,PLATINUM,724
3117,61179560,Jackson,391,France,Male,77,1,116524.31,2,0,1,122616.49,1,0,1,SILVER,363
3118,19602949,Wilson,374,Spain,Female,30,4,221473.5,3,0,1,165450.04,0,0,1,GOLD,397
3119,32664643,Jackson,411,Spain,Female,79,0,220514.79,2,1,0,86283.54,1,1,5,GOLD,885
3120,54517789,Martin,559,Germany,Male,97,6,163001.03,3,1,0,162335.63,0,0,1,DIAMOND,10
3121,72738365,Wilson,579,France,Female,22,9,52152.82,4,0,0,84342.48,0,1,5,SILVER,430
3122,86043298,Moore,657,France,Male,50,9,66495.64,3,0,1,24957.07,1,0,3,GOLD,971
3123,66304580,Moore,562,Spain,Male,43,5,141090.9,3,1,1,45393.72,0,1,1,DIAMOND,25
3124,24755640,Moore,728,Spain,Female,23,6,181246.41,4,0,0,185795.07,0,1,2,SILVER,800
3125,81365857,Martinez,492,Germany,Female,51,0,122368.97,4,1,0,110444.68,0,1,5,SILVER,180
3126,97276437,Wilson,453,France,Female,45,2,135530.48,2,1,0,75227.53,0,1,4,PLATINUM,504
3127,59829830,Taylor,510,Germany,Female,76,5,65851.55,3,1,1,71263.38,1,0,1,PLATINUM,871
3128,76471100,Rodriguez,600,Germany,Female,52,5,114990.44,3,1,0,17224.36,1,0,3,GOLD,315
3129,55025561,Rodriguez,511,Germany,Female,49,5,24930.0,4,0,1,181820.88,0,1,1,GOLD,680
3130,55007242,Miller,715,Germany,Male,56,10,140768.56,4,1,0,177219.79,1,0,5,GOLD,176
3131,25324483,Thomas,638,Spain,Female,98,2,105944.77,1,0,0,76540.27,0,1,4,DIAMOND,645
3132,10778752,Johnson,579,France,Male,87,2,248573.67,4,1,0,40474.11,1,1,3,PLATINUM,424
3133,36075950,Taylor,489,Spain,Female,88,0,38340.08,2,1,0,23324.18,1,1,2,DIAMOND,175
3134,90441555,Brown,529,France,Female,56,6,222354.94,4,0,0,63042.97,1,0,4,GOLD,181
3135,99080984,Thomas,392,Germany,Female,59,10,182083.44,2,1,1,9758.07,1,1,3,GOLD,440
3136,19814492,Williams,525,France,Female,51,3,60927.45,4,0,0,22108.31,1,1,2,PLATINUM,426
3137,30475777,Gonzalez,324,Spain,Male,77,8,134000.07,3,1,1,117511.19,0,1,1,DIAMOND,580
3138,84236896,Davis,780,Germany,Male,66,10,148455.57,2,0,0,187237.28,0,0,1,PLATINUM,991
3139,61658775,Jones,506,France,Male,81,4,64206.33,1,1,1,189740.89,0,0,2,SILVER,998
3140,96867658,Davis,487,France,Male,65,6,85689.34,4,0,0,24180.37,1,0,1,GOLD,710
3141,47584982,Rodriguez,407,Germany,Male,90,2,90174.06,3,1,0,88160.39,1,0,5,GOLD,719
3142,75530890,Smith,766,France,Male,48,1,135382.92,2,1,1,182645.69,1,1,2,GOLD,261
3143,79045059,Rodriguez,374,Germany,Male,26,4,51099.23,1,1,1,63355.48,0,0,2,DIAMOND,162
3144,21788330,Miller,689,France,Male,61,4,193014.39,3,1,0,39580.25,0,1,5,GOLD,879
3145,49218351,Hernandez,541,Spain,Male,54,6,237048.33,1,0,1,25345.82,0,0,2,PLATINUM,226
3146,58137264,Wilson,306,Germany,Female,33,6,246443.04,2,1,0,99275.14,0,1,3,GOLD,383
3147,82877910,Lopez,336,Germany,Male,43,3,208614.71,4,0,0,142999.66,1,0,1,PLATINUM,871
3148,75713864,Martin,603,Germany,Male,90,10,54422.29,1,1,1,180329.75,0,1,3,SILVER,394
3149,12622695,Martinez,473,Spain,Male,75,6,235924.22,4,0,1,119066.58,0,0,1,SILVER,573
3150,46858266,Johnson,686,France,Female,21,4,43078.58,2,1,0,72749.34,0,0,1,GOLD,163
3151,15943951,Martin,487,Germany,Female,23,4,150096.22,2,1,1,48021.11,1,0,3,DIAMOND,818
3152,51197654,Wilson,567,France,Female,96,5,112418.6,4,0,1,188739.7,1,1,2,DIAMOND,464
3153,47175897,Garcia,427,Spain,Female,97,4,106176.93,2,1,0,183573.54,1,0,4,SILVER,827
3154,86030048,Miller,842,Spain,Male,59,4,43142.42,1,0,1,113006.2,1,1,4,SILVER,237
3155,75893350,Taylor,336,Germany,Female,92,2,150883.52,4,1,0,32652.03,1,1,4,PLATINUM,744
3156,70336466,Jones,461,France,Male,97,10,50585.89,3,1,1,19254.32,0,1,3,GOLD,41
3157,60451971,Thomas,850,Germany,Female,70,4,91265.47,4,1,0,136979.67,1,1,3,GOLD,744
3158,55164610,Rodriguez,452,Germany,Female,19,5,226875.38,1,1,1,132106.3,0,0,5,PLATINUM,521
3159,38967342,Williams,784,Spain,Female,20,0,47117.09,4,1,1,26855.77,1,1,3,PLATINUM,719
3160,67967735,Williams,462,Germany,Female,50,6,18806.81,1,1,1,165919.16,1,1,1,SILVER,230
3161,84441994,Gonzalez,780,France,Female,74,4,24283.54,2,1,0,5031.49,1,1,4,SILVER,157
3162,97608535,Williams,317,France,Male,30,9,202662.58,1,0,0,110536.37,1,0,2,SILVER,947
3163,32911606,Johnson,416,France,Female,89,1,22810.58,1,1,0,136816.46,0,0,3,DIAMOND,947
3164,78605241,Lopez,811,France,Female,86,2,24068.12,3,1,1,102606.47,0,1,3,GOLD,72
3165,63704629,Anderson,658,Spain,Female,98,0,94831.88,2,1,1,198227.91,1,1,2,SILVER,562
3166,61245510,Miller,487,Spain,Female,76,6,166419.48,3,1,1,198080.8,1,0,5,GOLD,966
3167,41446678,Miller,638,Germany,Female,63,10,97638.01,2,1,0,37310.83,0,1,3,DIAMOND,702
3168,26744070,Martin,846,Spain,Male,65,0,189587.03,3,0,0,166873.2,1,0,1,DIAMOND,260
3169,95455637,Hernandez,316,France,Female,39,2,76730.19,4,0,0,192762.95,0,1,3,GOLD,251
3170,11809922,Davis,351,France,Male,21,6,110067.48,4,1,0,19685.44,1,0,2,DIAMOND,323
3171,64311800,Martinez,685,France,Female,54,7,205827.13,2,0,0,109404.97,1,0,3,PLATINUM,156
3172,61161128,Brown,539,Germany,Female,21,1,107409.51,1,1,0,141403.37,1,1,1,SILVER,101
3173,73447365,Davis,809,Spain,Female,39,1,237378.84,4,0,1,71091.44,0,1,3,PLATINUM,681
3174,48942371,Hernandez,658,Germany,Female,90,4,194766.82,1,0,1,86955.22,0,0,5,DIAMOND,366
3175,87386606,Williams,702,Spain,Male,49,7,208920.52,1,1,0,71584.16,0,0,1,DIAMOND,355
3176,71200637,Moore,510,Spain,Male,81,6,20513.65,3,0,0,169613.99,0,1,3,SILVER,654
3177,50967902,Taylor,465,Germany,Male,20,0,8028.97,3,0,0,191897.7,1,1,5,PLATINUM,45
3178,30787997,Brown,403,Spain,Male,60,5,457.25,3,1,0,38012.46,0,0,3,PLATINUM,406
3179,19502200,Hernandez,710,France,Female,77,7,183024.1,3,0,1,13904.35,1,1,3,PLATINUM,639
3180,17015872,Davis,795,France,Female,79,1,161741.58,3,1,0,40633.97,0,0,5,PLATINUM,180
3181,85490292,Williams,466,Spain,Female,45,5,219922.49,4,1,1,159948.45,0,1,2,SILVER,325
3182,39902479,Garcia,756,France,Male,97,7,144310.18,1,0,0,190625.81,0,1,4,DIAMOND,511
3183,84220049,Gonzalez,577,France,Female,83,3,215574.55,3,1,0,153413.61,0,0,1,DIAMOND,735
3184,12801149,Garcia,427,Spain,Male,18,6,190630.43,4,1,1,68924.85,1,1,2,PLATINUM,215
3185,16078820,Wilson,348,Germany,Female,29,6,98263.6,2,1,1,30958.72,1,1,1,PLATINUM,546
3186,21547864,Brown,470,France,Male,47,8,129453.12,2,0,0,77852.33,1,0,2,DIAMOND,406
3187,42369301,Smith,747,Germany,Male,79,4,19700.74,4,0,0,158574.89,0,0,1,GOLD,44
3188,51907510,Anderson,532,Spain,Female,100,5,231512.96,2,0,0,161042.08,0,1,5,SILVER,837
3189,53880335,Taylor,548,Germany,Male,69,9,63233.83,1,1,1,188461.35,0,0,5,GOLD,136
3190,42566382,Lopez,315,Germany,Female,60,4,195781.94,2,0,1,26984.48,1,0,1,SILVER,620
3191,44775546,Martin,727,Germany,Female,59,9,106080.43,3,1,1,55505.89,0,0,3,PLATINUM,67
3192,43745396,Davis,364,Spain,Female,32,2,126434.13,3,1,1,197019.33,0,1,2,GOLD,857
3193,39943263,Hernandez,625,Spain,Male,46,3,194338.35,3,1,0,190827.34,1,0,3,SILVER,380
3194,76443282,Taylor,337,France,Female,81,5,173820.91,1,0,1,118217.5,1,1,2,GOLD,835
3195,52136332,Gonzalez,665,Germany,Female,34,10,184012.87,4,1,0,51680.75,1,1,2,GOLD,353
3196,29725772,Gonzalez,303,Spain,Male,71,10,82218.67,2,1,1,176865.83,1,1,3,SILVER,382
3197,14197914,Anderson,616,France,Male,64,4,54548.16,3,1,1,62017.42,1,1,4,SILVER,274
3198,61088768,Rodriguez,754,Germany,Male,29,6,192486.63,2,0,1,30225.52,1,0,5,SILVER,143
3199,22911884,Brown,301,France,Male,18,0,150491.26,2,1,0,187387.28,0,1,1,SILVER,352
3200,19157839,Smith,834,Germany,Male,45,6,245870.13,2,1,1,44304.68,0,0,1,SILVER,308
3201,96289049,Miller,845,Germany,Female,33,6,184382.45,3,0,0,52952.46,1,0,5,PLATINUM,546
3202,31782301,Wilson,590,France,Male,71,0,174401.15,4,0,0,168919.07,0,0,3,SILVER,687
3203,13241185,Gonzalez,495,France,Male,76,1,49301.68,4,0,1,41575.66,1,0,4,SILVER,750
3204,80638594,Rodriguez,797,Spain,Male,83,1,26276.69,2,1,1,15465.79,1,1,1,GOLD,822
3205,95887476,Williams,435,Spain,Male,49,1,55312.88,4,0,1,31770.41,0,1,5,GOLD,682
3206,50021512,Anderson,613,Germany,Female,27,7,186434.95,3,0,1,134449.4,1,0,5,SILVER,928
3207,45651902,Jackson,544,Spain,Female,19,3,212435.21,1,1,1,193471.91,0,0,2,SILVER,845
3208,38114929,Anderson,828,Germany,Male,21,6,114816.75,3,1,1,2529.64,1,0,5,PLATINUM,487
3209,86191803,Martin,319,Spain,Female,34,3,187307.15,1,0,1,24586.87,0,1,1,GOLD,396
3210,22282219,Lopez,699,France,Male,47,10,28014.69,2,1,1,129386.38,1,1,1,GOLD,982
3211,46509046,Lopez,722,France,Female,31,4,225962.34,2,0,0,71018.59,1,1,5,PLATINUM,916
3212,47588257,Williams,633,Germany,Male,72,10,111830.72,4,1,1,72144.06,0,1,2,GOLD,7
3213,63407515,Williams,695,Spain,Male,94,10,100078.6,4,1,1,38689.17,1,0,5,SILVER,153
3214,43256144,Taylor,781,Germany,Female,26,5,74694.36,4,1,0,13615.27,1,0,1,DIAMOND,291
3215,90968873,Smith,413,Spain,Male,39,8,107066.5,3,0,1,185138.64,1,1,5,PLATINUM,361
3216,49676880,Miller,458,France,Female,92,1,104877.67,4,0,0,47247.79,1,0,4,GOLD,754
3217,46434411,Lopez,833,Germany,Female,95,9,171015.91,4,0,0,13494.51,0,1,1,SILVER,895
3218,32056915,Smith,650,Spain,Male,73,6,59327.83,3,1,0,59983.71,1,0,3,SILVER,852
3219,33623019,Davis,681,France,Female,74,3,200055.33,2,1,1,93536.91,0,0,3,GOLD,597
3220,48466135,Brown,491,France,Female,60,0,159546.94,4,1,1,37560.2,0,0,5,DIAMOND,131
3221,56984125,Gonzalez,670,Germany,Female,73,1,192802.92,3,1,1,116715.69,1,1,5,GOLD,4
3222,99508073,Jones,717,Germany,Female,94,5,113237.18,2,1,1,77039.2,0,0,4,GOLD,573
3223,73419243,Davis,474,France,Male,19,0,17790.96,1,0,1,15417.63,1,1,5,GOLD,688
3224,81025295,Hernandez,689,France,Female,39,8,12982.98,1,0,0,127048.99,1,0,5,GOLD,895
3225,25167251,Jones,676,Spain,Female,58,10,249498.75,3,0,1,196478.86,0,1,3,PLATINUM,803
3226,69967610,Brown,648,Germany,Female,51,0,75471.88,4,1,1,16939.28,0,1,2,SILVER,563
3227,51097769,Smith,307,Spain,Female,33,7,123033.26,3,1,1,190607.27,1,1,2,PLATINUM,499
3228,30933643,Smith,492,France,Male,43,10,240396.58,4,1,1,125830.82,0,0,3,SILVER,258
